sentiments,cleaned_review
positive,received product charged started using charge last long maybe day today work glad kept old battery one
neutral,mouse great today scroll finger pad completely broke scroll function loose wont work
neutral,month half stopped working tried charging repeatedly nothing
neutral,worked great months one day stopped working
neutral,worked well first weeks broke right return window closed
neutral,cheap mouse started lagging months eventually quit working
neutral,broke less months scrolling workwouldn recommendquit right outside return window
positive,ergonomic fits hand well pretty charged mine hold charge well lasts couple hours
positive,certainly helps look instructional pictures try translate instructions mean
neutral,little wheel broke within day
neutral,performs expected
neutral,mouse seems work looks nice easy install etc biggest complaint time wake feature every time use asleep either click button may may cause action pick several times annoying stopped using might keep aside use laptop traveling definitely daily use
neutral,bad would rather purchased apple
neutral,box came absolutely smashed mouse work usb adapter included
neutral,broke within week
positive,slim quiet absolutely love changing colors best mouse
neutral,worked great first keep power last hours months
positive,bought mouse match keyboard bought daughter use laptop online school likes mouse well keyboard likes match light know would gaming
positive,easy use sleek design small enough fit easily computer bag take
neutral,good feel ergonomics scroll wheel broke six weeks design plastic quality selection live common everyday use
positive,nice little mouse quiet clicking get lots compliments changing color lights
neutral,work intended laptop
positive,sleek ergonomic feel quiet clicker easy charge usb easy install would definitely recommend price
positive,purchased mouse use new laptop impressed quietness buttons helped win games
positive,love clickity clicks mouse got daughter online school work loves damn thing
neutral,mouse would connect compute despite multiple attempts following instructions given typical many amazon products product cheaply made worth wasting money would suggest avoiding making purchases brand future strongly suggest buying mouse unless throwing money away broken pieces junk work past time knock
neutral,bought item scroll button left button stopped working months use
neutral,ergonomic
positive,item worked fine months longer would turn yes fully charged course past return date basically junk save money buy name brand
positive,mouse slim cheaply made dare drop going break another one
positive,bought mouse office theme love kind frustrated first tricky getting come holding two buttons worked great purchase
neutral,things stop working weeks got two one refuses charge stay scroller fell poorly made purchase
positive,like slim colors nice touch without distracting clicking responsive though movement little glitchy sometimes biggest complaint usb sticks super far use usb adapter
positive,super exited come worked five minuted thing worked usb type adapter
neutral,used month stopped working
positive,love color love changes colors love holds charge
neutral,bought mouse said rechargeable remember always batteries around used days better inside died went recharge charged hours even though says charge time hours went use work
negative,put one star store sent bad mouse twice first working working next work wasted time money
positive,love sleep mode easy use
neutral,works macbook pro
positive,loved little mouse looked great felt great hand wheel nice scrolling battery even held charge thought reasonable amount time would categorize usage light moderate use abuse came day month arrival right return window closed started glitching drops responding work drop talking sleep mode active use back forth back forth frustrating probably desperately want mouse instead laptop trackpad said spend whole lot money mouse get pay wish gotten little month glitching
negative,scroll button broke month would recommend
positive,happy purchase mouse wheel quit working purchased device july week ago september quit working looking questions see others experienced purchase item known issue
positive,got mother wanted something pink cheap really feels like made trash seem work well enough though tracking inconsistent best ergonomics really non existent seem like made human hands overall buying somebody wants something cheap pink cant tell difference actually care half decent mouse skip one
positive,like size perfect fit laptop bag
neutral,nice mouse little lightweight liking battery lasts track wheel already broke unfortunately
neutral,switch often feels like sand mouse moving smooth move like would expected like mouse roughness annoying times
neutral,taken remember turn sits awhile
neutral,get pay
neutral,bought one piece going laptop work second broke easily
neutral,good product
positive,love mouse quiet pretty battery lasts probably charge maybe twice week
positive,ergonomic stylish cute colors cool lights comes attachments like cords charging small indent mouse keep part plugs laptop forever losing mine great feature quiet well recommend nice cheap little mouse
neutral,amazing feels cheap durable
positive,nice mouse love size feel
neutral,cheap mouse connectivity poor times
positive,love colors far
positive,love different colors easy find night holds charge days
neutral,soft light smooth
positive,like light easy handle
positive,love
negative,item month already stopped working hold charge cable ignored comments working make mistake
positive,slick well made mouse buying another one thanks manufacturer nice creativity build
positive,really liked mouse first got low profile nice soft quiet click rainbow lights available rose gold color thought made great purchase less months scroll wheel squeaky stand hear scrolling documents bummed lemon
neutral,use mouse instead mousepad
neutral,nice
positive,prompt delivery awesome product
neutral,colors great worked wheel broke usb fell apart pulling computer
negative,bought one first broke within couple months thinking maybe daughter bought another broke within couple months middle wheel mouse defective problem first one bought
positive,lightweight mouse easy charge use charging like teal color got fun colors lighting makes office work time computer feel little less boring easy connect works well imac
negative,sad using months scroll wheel broke already bye bye scrolling feature kind turn use broken
neutral,press hard mouse gets annoying wish still box return
positive,perfect little mouse mouse easy use charge lightweight love little colors fits hand perfectly
neutral,product lasted days thought charged
positive,use mouse often mouse completely failed turn light charging turn stay completely unusable pretty big bummer since past return recommend
positive,perfect office love lightweight easy use
negative,mouse worked great one day stopped scrolling month rest mouse seems working scroll wheel longer responsive
negative,buy bought august return period days stopped working october tried different charging cords thought maybe cord lock completely dead
negative,mouse good shape charges quickly roll broke one week use
neutral,sleep mode works well
positive,simple use long battery life recharges plugging computer first mouse enjoyed using wired works much better old battery opperated ones much longer battery life
neutral,
neutral,lasted little month scroll wheel stopped working
neutral,stay charged long
positive,plugged worked perfectly wanted small low profile mouse use travel far one seems great chromebook travel usb ports think mouse came usb receiver comes usb receiver adapter works fine together inch long little awkward means careful bump beak receiver smaller would ideal overall great value
neutral,quiet looking
positive,great begin price expecting lot however scroll wheel quit working within first times using one reasons purchased begin
neutral,mic stopped working charging weeks
positive,looks awesome really quiet short time love
negative,terrible product first mouse broke within week second mouse broke within months
neutral,broken within month
neutral,mine stopped working work mouse pad freezes use top flat surface
neutral,cheap broke months
neutral,product cheap worked well first months
neutral,stopped working less week died returned look another one save effort keep lookin
positive,battery takes forever die great sleep mode helps lot thinner smoother mouse love lights
neutral,purchased two works described beat price highly recommend
neutral,got husband chose colors lol
neutral,like need batteries battery lasts long time
positive,read reviews seems great fully charge mine last hours charge lasted would good mouse rate mine one
neutral,right box mouse never worked buttons activate mouse never moved cursor junk
neutral,good
neutral,bought one laptop days got wheel stopped working could hear something loose inside returned replacement new one seems working fine although sometimes cursor glides smoothly across screen times jumps around lot maybe something wireless mice know never one
negative,tried times using week even checked make sure fully charged turned several times improvement movement cursor slow delayed disappointed functionality went back using battery operated mouse
neutral,initially thought great piece slowly struggling use stops working goes sleep long get activated simply moving bit moved times even hit pad time
positive,bought work laptop really like coloring changing option fun turn often charge lasts longer small hands fits hand comfortably
neutral,got june end september great first lasted multiple days charge battery dies couple hours dies randomly without warning always middle using frustrating lasted maybe months total
neutral,type converter item working use one everything else working good
positive,love mouse sleek design works wonderful love quietness perfect fit small hands
positive,nice mouse like mouse sleeps save battery
negative,looks like track wheel connected internal device using fragile thin piece plastic simply using mouse drop slam suddenly tactile feedback using track wheel stopped mouse would longer scroll screen bad actually liked mouse
neutral,mouse nice lightweight quiet lags jumps around sometimes
neutral,stopped working weeks purchase
positive,admit going return item understand little usb attachment bottom device charged using little black usb insert laptop work inserted white short usb underneath pointer computer accepted works great still learning use devices age gorgeous works
positive,mouse works well good value inexpensive price
positive,ordered mouse early september today longer holds charge bought mouse something portable along laptop generally dislike using trackpad size ideal overall comfortable easy use however mouse hold charge charge least twice per week remember mouse used primary computer either yes turn stored bag thrilled replace year use purchasing
neutral,rating negatively scroll button last two weeks didnt even fall woke use mouse discover scroll wheel working feel like wasted money purchase
neutral,love mouse quick connectivity computer happy scroll bottom quit working
neutral,glitchy charge last
positive,nice size color true expectation easy use setup usbc adapter included newer hardware usb adapter fits base mouse works well multiple surfaces quick charging
positive,works great
neutral,stopped working within days use
neutral,felt like cheap product upon arrival usage months longer charges absolutely useless
neutral,expected would buy
negative,mouse almost months worked well color changing lights add little pizazz unfortunately scroll wheel stopped working longer tension spins moves nothing screen
neutral,turns battery last whole work day
positive,work home mouse comfortable responsive
neutral,come usb cable charge mouse wasted money
neutral,mouse much faster last like charging system drawback charger comes missing happen house replace
positive,works like super easy set
neutral,unfortunately scroll function already broken otherwise cute comfy mouse love lights
neutral,got mouse charged like said went use even work would recomend anyone get mouse
positive,beautiful
neutral,hold charge long recharge threw trash battery operated mouse years lost going back batteries
negative,purchased mouse thinking usb connector usb usb adaptor bad opted keep three stars scrolling smooth worked would kept couple weeks died would charge despite plugged hours waste money tried true brand
neutral,used six weeks stopped working
neutral,honestly waste money charge hours work
neutral,easy use
positive,works like normal mouse everything however light mouse bright shines white mouse good aesthetically however want mouse mouse things one fine
positive,great item
positive,great product
neutral,dropped mouse desk carpet scroll button broke guess get pay
neutral,love mouse overall beautiful lights fits well hand responsive wheel broke less one month regular use design work sad second mouse bought first lasted months issue like much unfortunately looking something different next mouse
neutral,month old roller longer functions realize cheap month use exclusively work heavy use
neutral,three months working fine loved click quiet lightweight stopped charging working nowhere
negative,worst mouse ever
neutral,wanted product thought least semester since purchased ball scrolls longer working makes mouse almost pointless seems going need new mouse
neutral,wheel scrolling breaks easily second one purchased issue try another brand
positive,scrolling wheel working properly months buy new mouse usb charging feature nice though easy carry
neutral,comfot
positive,love mouse take anywhere classy yet little sexy workspace adaptable needs house devices
neutral,holds charge days
positive,works perfectly chromebook
negative,personally good fit
neutral,sensitive mouse maybe new works fine
positive,mouse useful beautiful colors thought fit mac came mac adapter convenient cute
neutral,mouse worked great months scroll wheel broke waste money
neutral,wireless mouse less month wheel mouse already broke happy mouse buy
neutral,mouse great first week scrolling part stopped working
neutral,scroll wheel stopped working within days long return time features good
neutral,scroll wheel broke using like days light use
neutral,garbage waste money working couple weeks
positive,literally charge turn look somewhere else mouse
positive,bought mouse august worked well today september mousewheel spins freely screen scroll get pay guess paying mouse month half
neutral,loved first stopped charging work anymore
positive,wound returning non longer needed try worked amazingly love quiet sleek adapter perfect macbook
neutral,ease use portability
neutral,scroll wheel broke month
neutral,good mouse
neutral,mouse worked perfectly months almost month mark exactly scroll wheel stopped working spins move cursor page looked see could return window closed month ago tempted cheap price stuck name brand
neutral,regular big hands
positive,bought exchanged immediately due sent broken one recieved replacement works sometimes always work original purchase scrolly ball register movent good months get one works properly start
neutral,joke tried long time get mouse even work even trying mouse multiple surfaces troubleshooting thinking computer plugged different mouse worked fine requested return item pay return shipping print label absolute joke waste time
positive,wireless mouse works great light connected right macbook air problem
neutral,ordered first one april replace june dropped mouse wheel stopped working got new one june today mouse wheel stopped working nowhere barely even lasted three months
neutral,first internal battery mouse liked ergonomics charging frequent would liked mouse thrown landfill mere months old wheel broke mouse really going miss
neutral,beautiful literally stopped working month charges turn shuts right away
neutral,barely months scroll wheel top stopped working pretty much useless
neutral,good lighting mouse gaming really
neutral,work anymore month return longer allowed stopped working
negative,mouse effective charged hours still life function buy noticed mouse working charged hours tried mouse still work showed red one colors may warning seller respond reply assist troubleshooting unsatisfied customer
neutral,product slim fail easy click though lights charge lasts day
neutral,works fine practical always recharge battery bit annoyance
positive,works good plug play
neutral,love mouse ordered two first one lasted year second received died eight months purchase clicker stopped working
positive,love color slim use work school
positive,super light cute
neutral,works well
neutral,liked recharge aspect
neutral,love mouse couple months completely stopped working yesterday
neutral,junk
neutral,good mouse worked well time driver broke two months work anymore
neutral,roller ball broke weeks use
positive,great buy
negative,purchased june busted september center wheel broken inside rendering device worthless
neutral,terrible product reason still amazon told keep requested return refund battery last feels terrible hand buttons scroll ball accurate stay away plenty cheap rgb mice
negative,even lat month broken poor quality
neutral,mouse worked great scroll wheel longer works use mouse home office particularly rough could understand something breaking less year use
positive,love wireless mouse big bulky clicking quite really cute looking
neutral,gets stains easily
neutral,bought mouse work gaming first one arrived broke within first week using scroll wheel broke returned got replacement scroll wheel replacement mouse broken return window closed looking wireless mouse favor spend little extra quality break month two
neutral,first got item worked fine couple weeks moving arrow well dropped stopped working altogether
positive,long charged turn anymore made sure switch even changed chargers stopped working
negative,stopped working month longer click unless heavy force bad product
positive,great mouse perfect looking really quiet appreciate louds clicks get annoying time mouse lights cool really slim easy pack work bag feels great using
positive,fits well contour hand withstands multiple drops floor battery lasts quite charging color changing pretty
positive,works phone laptop pretty cool lights wahoo
negative,really liked using mouse died hair quicker like would use wired charged however month using middle scroll circle clicked come back making impossible use use often playing sims expect much pay much slightly disappointed
neutral,bought beginning august already work waste money
positive,like fact turns time like works usb like use mac like charging cable
positive,use mouse laptop worked pretty good first got wheel quit working idea
positive,saw positive reviews thought would winner first great loved colors easy use months scroll wheel stopped working dug little deeper reviews realized common theme buy another mouse already another one
negative,worked less month stopped charging became useless purchased second one see long lasts
positive,worked great months stays charged long time like able use port laptop however scroll button moves erratic scrolling page page jumps jumps
positive,love mouse easy set easy use seems forever one charge ever changing light color really cool
positive,sleek nice love colors great buy
positive,cute charge lasts forever
positive,really liked usb type adapter allowed plug usb memory sticks smart phone
neutral,second one issue mouse wheel stops working order product learn mistakes
negative,piece junk already broken irritated
positive,love little mouse work clicking soft quiet annoying clicking computer day color pretty love lights
neutral,battery life sucks
neutral,roller top mouse quits working falls mouse colors lights fun mouse defective point buy another
neutral,excited got mouse laptop even work charge night still connect
neutral,mouse great worked good first one day suddenly stopped charging used
positive,absolutely love mouse great color matches laptop perfectly love color changing mode fun
neutral,sleek look battery lasts extremely long charge since getting highly recommend
positive,feels great wide comfortable lights move around likes much bought second one
negative,recommend bought two months ago roller part already broke useless
positive,got mouse use laptop great glides easily holds charge quite enters sleep mode use wake mouse right left click changing lights great fun touch
neutral,everything
positive,lights multicolored nice goes sleep great smooth works fine breaks months days suddenly scrolling wheel broke
negative,worst mouse ever hard glide goes dead fast wish could return
negative,worthless spend min trouble shooting every time need use
neutral,center scroll wheel lasted less week mouse still works aggravating every time use muscle memory scroll wheel work decent battery life bought new different brand mouse replace mouse also much arch ergonomic better laptop track pad though
positive,love mouse love quite use love sleep feature well nothing bad say use online schooling
negative,gets insensitive quickly hard use light small ergonomic dont recommend buying
positive,works great love quiet clicks perfect school without annoying one everything silent
neutral,husband bought different colors children school last month yesterday first day youngest mouse great problem second dead since daughter likes colors placed charger last night still charging unplugged mouse see charge charge explain old company gave broken mouse try find way get work device always charging went target
negative,scroller broke within week material looked greasy worn week limited use
neutral,laptop compat
negative,bought started working home months middle part longer would scroll page reason bought first place disappointing since reason bought first place
positive,charge mouse way expected especially since use work buy otherwise seems work fine besides sometimes jumping pointer screen whole area casual usage may fine
negative,worst mouse bought goes dead fast charge night die fast would recommend mouse
neutral,good
neutral,say worked well stopped working like weeks
neutral,works described
negative,used month sensor broke entire thing useless
positive,wrist longer hurts computer sexy running lights let see desk love pink color one take batteries dead claim mouse needs batteries got love family ingenuity
positive,bought february worked great charge connecting computer longer
neutral,liked fact uses battery charge last long
positive,works great little small would stress hand used day everyday keeping content specific buttons directly fingertips would solved longer mouse ergonomic one little height averaged sized male knowledge hand typical size person haha hope helps
neutral,waste money worked well weeks long enough miss return window got jumpy erratic hold charge unless plugged
positive,cheap lights fun cheap work great squeaky wheel scrolling sometimes track well annoying gets job done patient select different one
positive,product worked well months charge power
neutral,guess get paid mouse stay charged connect ipad super disappointed
neutral,bought august finally managed get work minutes using roller scroll stopped working feel spring gave way using sure fixed
neutral,nice mouse fits well junk died less month purchased two called upgraded updated waste money junk
neutral,yeah roller fell inside barely used
neutral,like idea needing batteries needs approvements
positive,love mousepad clicking silent looks pretty thing dies fast work hour week home charge mouse like every day
positive,bought work laptop love easy use love rechargeable fantastic design hard hands connects easily issues
negative,first received charged recommended lit seemed work expected charged put toggle usb port nothing happened download anything pair laptop let sit tried nothing charge light nothing never even used stopped working disappointed total waste money
positive,ergonomic would also like full size desktop use multi color led adds nice decorative touch mouse wakes sleep mode first click
neutral,great mouse cat would stop breaking
neutral,quality matches description like
neutral,scroll wheel failed purchases seller would respond complaint
neutral,worth
positive,mouse back school gift grade son charged fine first time worked never charged stopped working school one week already needs new mouse give one star work
neutral,bought mouse used day kept freezing back old mouse
positive,mouse matter charged loves randomly jump side screen like since first plugged besides pretty like lights combined also really helped carpal tunnel issues
negative,ordered product cursor kept jumping around screen even fully charged figured got bad apple made exchange new one new mouse came scratched big deal scroll wheel smooth annoying fine one cursor jumping around screen would otherwise liked mouse charges quickly appreciate sleep mode battery life lasts longer
neutral,good worked used basic office work nothing heavy scroll button broke despite almost never using function
negative,bought mouse august broke month basically lasted less month lights stopped working properly middle part scroll stopped working broke recommend
neutral,broke work
neutral,used like times died understand reviews horrible product save money
neutral,meant
negative,mouse worked broke led looked fake crappy buy budget would job careful
neutral,product charge tried multiple outlets boxes cords product turns seconds red light shuts junk
neutral,longer working
negative,bought months ago use work scroll wheel broke mouse glitching disappointed purchase quality
neutral,used mouse work hybrid worker work field different workspaces mouse leaves home office individual protective padded case work bag worked great stopped working disappointing almost months mouse still lights looks like works took charge charger move screen work computer thinkpad personal computer macbook said either mouse internally stopped working aspect usb dongle defective per consultant tried possible usb ports even apple magic keyboard still move screen also tried every idea could find reset repair issue line avail disappointing huge inconvenience happened would expect product last months coworkers asked mouse thought cool told died short period time cautioned decide buy one yet hear back customer service sure ever maybe true get pay need buy another new mouse something hoped worry long time please keep mind leave review bash company review let people know experience mouse like said worked great stopped working still lights move screen apparent reason work night buyer beware
neutral,used sleep mode gaming
neutral,real light weight easy use connects quickly
neutral,love color changes problems
positive,love size
positive,bought several since first one work amazing issues recommend seller mouse brand alot price good
neutral,days return window expired scrolling wheel stopped working
positive,like item lot fairly priced low profile makes easy hand largest hands small either mouse high hump uncomfortable solves problem nicely could without sleep mode still getting used waking understand value sleep mode deal never deal batteries also bonus charging overnight ideal already forgotten couple nights fine necessary plug use charges
neutral,product piece junk work
neutral,mouse month center wheel broke scrolling used daily work
negative,used good morning use roller since broken broke bad quality
neutral,white button spin wheel broke months later late return
negative,nice sleek felt cheaply made though died within weeks turn even charged would recommend buying
positive,mouse works great better expected
neutral,concerned would difficult setup shocked easy connect
neutral,loved mouse much bought one daughter mom less months stopped working tried charging multiple outlets switched usb around nothing flashes red plug charger goes disappointed buy another return one
neutral,cheap product buy
positive,bought mouse replace one mousewheel break honest loved mouse first lights feel everything however fan extra added adapter make usb compatible months bought mousewheel longer functions mouse well reason companies make portable mouse mice make one sturdy mouse wheel oddly enough one thing like mouse originally became favorite thing broken adapter allow run regular usb usb port
negative,within week son using scroll button broke somehow outside return window stuck
negative,ordered track ball broken silver one within days right click broke rose gold one within days use light use gaming sturdy difficult charge
neutral,skips around freezes clicking things save money
positive,used times jan july buy
positive,product cheaply made purchased mouse daughter liked lighting side mouse however wheel controls scroll web page easily breaks return buy another one buyer beware take father went
positive,buy two different mice within months scroll button stopped working devices okay product led light function cool sleek style easily rechargeable
positive,quiet fast works super well game use work perfect
positive,use mouse work require weird setup like downloading software super comfy sleep mode activates minutes click button wakes ready regularly use light mode cool feature fun show carpal tunnel much better wrist standard wired computer mouse definitely worth purchase
neutral,scroll wheels work mouse
positive,mouse great works well however roller ball top mouse broke longer works weeks since purchase like lights function need lit time makes appropriate work environment
positive,use class home noise clicking buttons nice quietly working things would highly recommend color changing also great
positive,guess almost year good enough especially want one recharges like fooling around batteries battery life good could use day problems
neutral,weeks return window closed quit working completely returned sooner charge lasts one full work day spent lot time fooling around mouse tool something think make plans available use going back tried true battery wireless lasts year hassle
positive,important quiet scrolling mouse laptop mouse quiet silent scrolling silent clicking impressed mouse flat design lights around pretty neat switch bottom mouse includes option lights well nice mouse great price
positive,fine stopped working months favor spend little money get well known brand like logitech
neutral,bought five year three already broke months light use two plastic wheel axle broken another one stopped charging recognized windows anymore addition usb dongle cover separated got stuck laptop usb port mouse flimsy last ergonomical well cool lights positive thing say mouse eats battery avoid
neutral,purchased office work broke weeks scroll wheel stopped functioning aware look something else better quality thanks
negative,recommend purchased june already broken august
positive,logitech keyboard use problem mouse plug mouse keyboard stops working dongle also hard remove back mouse get something small pry little space finger grab easily would nice
neutral,buy scroll working
positive,love good price product
neutral,rechargeable battery lasts quite time course always turn done using batteries comes charger well could ask
neutral,mouse lasted days passed returnable date quite working matter many hours let recharge
neutral,mouse work days mouse stopped working charge either
positive,feel like cheap gumball machine plastic feel like going last long
negative,ordered first mouse broke two weeks returned reordered one broke days return window closed waste money
neutral,loved use computer daily could say intended rare usage broke within month sad specifically scrolling button
positive,led wireless mouse rechargeable slim silent mouse easy use lightweight easy recharge charge last long time
positive,super excited use mouse macbook even charge would return packaging anymore buy
neutral,move correctly move mouse cursor move thing click something click million times opens closes
positive,ease installing super cool looking laptop
neutral,using less month work hold charge
positive,mouse quietest click mouse ever owned puts sleep move magical sure color changing light overpowering distracting long line previous wireless mice think favorite pleased purchase
negative,broke within two hours using really got watch amazon return policy electronics tendency buy leave sitting box way long bad second third time gotten burned crap like
positive,love mouse got replace logitech mouse glitching beat price one light weight colors nice
negative,ergonomic feel mouse great battery life amazing lightweight feels cheap white matches setup translucent takes way aesthetic connected less away still loses connectivity causes lag makes completely useless recommend buy least white one aware lagging
positive,great product competitive price
positive,purchased kids use online class work easy set seems work well hoping something felt sturdy feels cheap kids love changing lights use mouse complaint remember turn noise use dies recharged used
positive,loved mouse breaks super easily liked figured give another chance bought second one broke months soft touch quiet liked unfortunately times scroll button stopped working feels like detaches get pay
positive,really like replacement broken battery operated one used love charge usb port rely batteries worry might run inconvenient time got cool lights around side works well lot surfaces use laptop recliner chair works running edge chair fine also used wooden table top vinyl countertop surfaces good results take second laptop boots locate minimal usb wireless component small fits really inconspicuously unused port laptop without way happy quality efficiency great purchase
neutral,never used everything chinese even machine self
positive,like change button back stays red blue light stops showing done charging thing wish would show much battery left
neutral,good price also make typical mouse clicking sound barely hear
positive,bought one try home loved much ordered two use work best wireless mouse ever great value
neutral,precise led optional lightweight mouse slot bluetooth rechargeable batteries stellar precision mouse pad
positive,realize rechargeable battery however gets job done comfortable use
neutral,looks great feels good hand scroller broke couple months
neutral,received product mail first handled felt cheap proceeded use laptop mouse wheel working
neutral,fond mouse ergonomics flat charge life months average minimum use charge system gives error message malfunctioning device tried different usb cord response donot recommend mouse
neutral,exactly looking get longer micro usb usb charging cable one comes inches long long enough charge laptop
neutral,appearance size built charging
positive,loved mouse worked great months scrolling piece middle broke rough drop stopped working nowhere
positive,loved product first received lit lightweight pretty short lived stopped working weeks using good thing cheaper side maybe disposable mouse supposed work short period
negative,buy one inconvenient rechargeable never know mouse juice two mouse dead months
negative,product less two months longer works really disappointed
positive,super sleek super quiet love mouse
negative,bought first time months died completely even charged respond turned back thought might one time defect bought another time died completely month nice worked buying time
neutral,technical trash
neutral,lightweight colorful charges using usb changing batteries love sleep mode used period time meaning idling found wake flip switch back resume using
neutral,worked great lasted roller wheel stopped working first week back school summer break roller wheel spins place one arms snapped kept protective pouch
positive,love led lights connects quickly rechargeable feature great forget recharge
positive,small hands old mouse big hand mouse lower need move wrist fingers higher click cure great fits hand much better put much strain hand
neutral,nice comfy also smooth
positive,usb charging port instead micro usb otherwise great daughter year old hands
neutral,scrolling roller ball function freely spins without engaging
neutral,bought mouse thing barely moves across screen traction cheaply made would recommend needed one fast cause old one going years mouse last four years
negative,months somewhat daily usage checking emails occasionally something fast middle wheel stopped working making pain ass use would recommend staying clear since day warranty
neutral,mouse functions well however days noticed multicolor lights longer changes hope find way fix
negative,bought june dead plus wireless mode frequently multiple times per day mouse drops connection cheap product would rather working product
neutral,charge mouse lasts day annoying isnt quiet either feels cheap performs meh dont waste money
neutral,functional gaming charge last
positive,works great fast
positive,love cute mouse use work goes sleep mode pretty quickly one click back running charge week
